"","month","avg_mortgage_rate","avg_home_price","assumed_monthly_rent","monthly_mortgage_payment","monthly_fixed_expense","monthly_cost_of_owning","ownership_vs_renting_difference","ownership_vs_renting_status"
"49",Jan 1991,9.646,75533,503.553333333333,578.865544804846,107.005083333333,685.870628138179,-182.317294804846,"Rent"
"50",Feb 1991,9.365,75249,501.66,562.802370780715,106.60275,669.405120780715,-167.745120780715,"Rent"
"51",Mar 1991,9.5,75137,500.913333333333,568.613363083107,106.444083333333,675.057446416441,-174.144113083107,"Rent"
"52",Apr 1991,9.498,75315,502.1,569.861503144477,106.69625,676.557753144476,-174.457753144476,"Rent"
"53",May 1991,9.48166666666667,75768,505.12,572.476659206707,107.338,679.814659206707,-174.694659206707,"Rent"
"54",Jun 1991,9.582,76253,508.353333333333,581.169225106631,108.025083333333,689.194308439964,-180.840975106631,"Rent"
"55",Jul 1991,9.594,76518,510.12,583.79329586524,108.4005,692.19379586524,-182.07379586524,"Rent"
"56",Aug 1991,9.28666666666667,76594,510.626666666667,568.940604276969,108.508166666667,677.448770943636,-166.822104276969,"Rent"
"57",Sep 1991,9.036,76575,510.5,556.311902699549,108.48125,664.793152699549,-154.293152699549,"Rent"
"58",Oct 1991,8.868,76290,508.6,545.953217362226,108.0775,654.030717362226,-145.430717362226,"Rent"
"59",Nov 1991,8.712,76031,506.873333333333,536.466495482143,107.710583333333,644.177078815477,-137.303745482143,"Rent"
"60",Dec 1991,8.538,75844,505.626666666667,526.696663076867,107.445666666667,634.142329743533,-128.515663076867,"Rent"
"61",Jan 1992,8.41833333333333,75700,504.666666666667,519.922650485711,107.241666666667,627.164317152378,-122.497650485711,"Rent"
"62",Feb 1992,8.746,75655,504.366666666667,535.465862532497,107.177916666667,642.643779199164,-138.277112532497,"Rent"
"63",Mar 1992,8.914,75814,505.426666666667,544.798012351904,107.403166666667,652.201179018571,-146.774512351904,"Rent"
"64",Apr 1992,8.878,76080,507.2,544.941240944348,107.78,652.721240944348,-145.521240944348,"Rent"
"65",May 1992,8.672,76398,509.32,537.095151922513,108.2305,645.325651922513,-136.005651922513,"Rent"
"66",Jun 1992,8.528,76602,510.68,531.471469551283,108.5195,639.990969551283,-129.310969551283,"Rent"
"67",Jul 1992,8.17833333333333,76711,511.406666666667,515.199437514103,108.673916666667,623.87335418077,-112.466687514103,"Rent"
"68",Aug 1992,7.99,76732,511.546666666667,506.247669817978,108.703666666667,614.951336484645,-103.404669817978,"Rent"
"69",Sep 1992,7.94,76628,510.853333333333,503.160567179752,108.556333333333,611.716900513086,-100.863567179752,"Rent"
"70",Oct 1992,8.07666666666667,76598,510.653333333333,509.533386029274,108.513833333333,618.047219362608,-107.393886029274,"Rent"
"71",Nov 1992,8.286,76579,510.526666666667,519.526521826965,108.486916666667,628.013438493632,-117.486771826965,"Rent"
